host_since,neighbourhood,city,accommodates,price
2015-04-18,Popincourt,Paris,2,60
2015-05-17,Palais-Bourbon,Paris,2,99
2015-05-21,Opera,Paris,2,90
2015-06-12,Buttes-Montmartre,Paris,2,60
2015-07-10,Buttes-Chaumont,Paris,2,105
2016-01-07,Luxembourg,Paris,2,105
2016-05-30,Popincourt,Paris,2,50
2014-06-04,Luxembourg,Paris,2,164
2015-05-12,Batignolles-Monceau,Paris,2,50
2015-11-12,Reuilly,Paris,2,60
2013-10-29,Enclos-St-Laurent,Paris,2,80
2016-06-29,Luxembourg,Paris,2,100
2014-09-10,Hotel-de-Ville,Paris,2,100
2015-06-23,Buttes-Chaumont,Paris,2,80
2016-09-15,Pantheon,Paris,2,80
2018-04-20,Luxembourg,Paris,2,175
2014-06-02,Buttes-Montmartre,Paris,2,60
2018-06-27,Buttes-Chaumont,Paris,2,30
2014-03-14,Buttes-Montmartre,Paris,2,80
2015-02-01,Palais-Bourbon,Paris,2,119
2016-09-11,Buttes-Montmartre,Paris,2,79
2014-06-10,Batignolles-Monceau,Paris,2,50
2015-03-29,Opera,Paris,2,100
2015-08-01,Buttes-Montmartre,Paris,2,70
2018-07-13,Batignolles-Monceau,Paris,2,52
2013-11-10,Menilmontant,Paris,2,80
2014-04-26,Menilmontant,Paris,2,50
2015-07-28,Vaugirard,Paris,2,30
2014-05-07,Enclos-St-Laurent,Paris,2,60
2017-01-31,Buttes-Montmartre,Paris,2,75
2016-09-04,Enclos-St-Laurent,Paris,2,44
2014-06-26,Buttes-Montmartre,Paris,2,97
2016-07-12,Enclos-St-Laurent,Paris,2,90
2015-01-26,Temple,Paris,2,75
2013-09-04,Buttes-Chaumont,Paris,2,55
2015-02-12,Batignolles-Monceau,Paris,2,55
2014-04-15,Popincourt,Paris,2,150
2014-03-05,Buttes-Montmartre,Paris,2,60
2014-07-24,Observatoire,Paris,2,45
2013-08-22,Buttes-Montmartre,Paris,2,350
2016-06-03,Reuilly,Paris,2,78
2015-12-25,Vaugirard,Paris,2,80
2013-07-18,Buttes-Montmartre,Paris,2,149
2014-03-09,Buttes-Montmartre,Paris,2,90
2018-04-16,Pantheon,Paris,2,89
2013-12-19,Pantheon,Paris,2,70
2013-02-11,Buttes-Montmartre,Paris,2,75
2016-04-03,Enclos-St-Laurent,Paris,2,90
2019-12-07,Popincourt,Paris,2,125
2012-04-05,Luxembourg,Paris,2,73
2012-09-15,Enclos-St-Laurent,Paris,2,60
2013-07-13,Buttes-Chaumont,Paris,2,50
2013-09-22,Temple,Paris,2,70
2014-06-11,Buttes-Montmartre,Paris,2,135
2014-06-17,Reuilly,Paris,2,78
2013-08-27,Bourse,Paris,2,350
2014-07-18,Elysee,Paris,2,110
2015-02-25,Temple,Paris,2,85
2012-11-05,Buttes-Montmartre,Paris,2,65
2015-03-15,Vaugirard,Paris,2,79
2012-01-09,Batignolles-Monceau,Paris,2,50
2015-03-30,Popincourt,Paris,2,80
2013-11-15,Buttes-Montmartre,Paris,2,65
2013-05-29,Batignolles-Monceau,Paris,2,54
2015-05-24,Buttes-Montmartre,Paris,2,53
2013-06-25,Reuilly,Paris,2,120
2015-06-10,Reuilly,Paris,2,95
2012-10-15,Opera,Paris,2,60
2015-03-10,Reuilly,Paris,2,70
2012-04-10,Buttes-Chaumont,Paris,2,35
2013-02-03,Popincourt,Paris,2,71
2015-07-17,Pantheon,Paris,2,81
2012-11-14,Vaugirard,Paris,2,128
2014-12-01,Buttes-Montmartre,Paris,2,50
2012-07-25,Menilmontant,Paris,2,70
2014-10-05,Hotel-de-Ville,Paris,2,100
2014-10-04,Opera,Paris,2,70
2014-04-23,Popincourt,Paris,2,89
2015-06-13,Gobelins,Paris,2,45
2014-05-01,Buttes-Montmartre,Paris,2,50
2013-07-12,Observatoire,Paris,2,38
2011-08-08,Bourse,Paris,2,65
2016-03-24,Hotel-de-Ville,Paris,2,120
2014-01-13,Enclos-St-Laurent,Paris,2,140
2014-09-06,Popincourt,Paris,2,67
2016-05-03,Buttes-Chaumont,Paris,2,37
2015-07-29,Popincourt,Paris,2,55
2013-10-20,Popincourt,Paris,2,80
2015-08-04,Palais-Bourbon,Paris,2,70
2016-06-23,Luxembourg,Paris,2,45
2015-08-19,Pantheon,Paris,2,80
2016-07-05,Opera,Paris,2,105
2012-06-12,Temple,Paris,2,80
2014-05-02,Popincourt,Paris,2,55
2016-06-11,Buttes-Montmartre,Paris,2,107
2013-04-22,Buttes-Montmartre,Paris,2,60
2015-02-27,Observatoire,Paris,2,50
2015-04-17,Popincourt,Paris,2,75
2015-12-31,Popincourt,Paris,2,55
2013-10-01,Reuilly,Paris,2,160
2014-07-20,Popincourt,Paris,2,55
2014-07-18,Buttes-Chaumont,Paris,2,43
2017-04-08,Batignolles-Monceau,Paris,2,34
2017-04-27,Vaugirard,Paris,2,90
2014-07-23,Opera,Paris,2,79
2014-10-21,Buttes-Montmartre,Paris,2,80
2017-07-05,Popincourt,Paris,2,120
2016-06-14,Popincourt,Paris,2,80
2013-11-14,Batignolles-Monceau,Paris,2,120
2015-03-02,Buttes-Montmartre,Paris,2,120
2013-08-14,Temple,Paris,2,92
2015-06-18,Hotel-de-Ville,Paris,2,50
2014-02-20,Opera,Paris,2,100
2013-10-21,Batignolles-Monceau,Paris,2,85
2014-07-11,Observatoire,Paris,2,65
2013-09-21,Luxembourg,Paris,2,73
2017-11-21,Menilmontant,Paris,2,25
2013-08-26,Vaugirard,Paris,2,95
2014-04-08,Passy,Paris,2,44
2013-10-17,Batignolles-Monceau,Paris,2,100
2014-06-22,Buttes-Montmartre,Paris,2,70
2014-02-02,Vaugirard,Paris,2,160
2013-08-20,Louvre,Paris,2,120
2017-01-11,Buttes-Chaumont,Paris,2,90
2016-05-01,Buttes-Montmartre,Paris,2,55
2016-06-21,Popincourt,Paris,2,44
2015-12-04,Vaugirard,Paris,2,80
2014-11-07,Buttes-Montmartre,Paris,2,45
2013-11-11,Popincourt,Paris,2,90
2016-06-22,Palais-Bourbon,Paris,2,180
2013-11-08,Popincourt,Paris,2,75
2015-04-15,Buttes-Chaumont,Paris,2,36
2014-11-10,Temple,Paris,2,150
2010-09-06,Popincourt,Paris,2,75
2018-08-06,Reuilly,Paris,2,59
2013-03-02,Enclos-St-Laurent,Paris,2,69
2014-05-29,Popincourt,Paris,2,106
2014-02-03,Menilmontant,Paris,2,80
2014-08-20,Temple,Paris,2,92
2018-09-14,Opera,Paris,2,159
2014-06-25,Buttes-Montmartre,Paris,2,100
2018-03-14,Bourse,Paris,2,170
2012-06-10,Palais-Bourbon,Paris,2,130
2018-11-28,Opera,Paris,2,80
2015-10-18,Passy,Paris,2,85
2014-07-04,Passy,Paris,2,90
2016-06-05,Popincourt,Paris,2,60
2019-03-05,Buttes-Chaumont,Paris,2,80
2015-02-10,Buttes-Chaumont,Paris,2,67
2013-05-20,Buttes-Chaumont,Paris,2,90
2013-05-01,Menilmontant,Paris,2,79
2014-10-10,Batignolles-Monceau,Paris,2,153
2017-03-29,Popincourt,Paris,2,85
2014-07-11,Buttes-Montmartre,Paris,2,119
2019-05-16,Passy,Paris,2,130
2013-12-15,Buttes-Montmartre,Paris,2,50
2015-04-18,Vaugirard,Paris,2,120
2014-12-11,Buttes-Montmartre,Paris,2,60
2013-12-27,Enclos-St-Laurent,Paris,2,75
2012-11-06,Buttes-Montmartre,Paris,2,68
2011-10-11,Buttes-Chaumont,Paris,2,65
2014-11-10,Temple,Paris,2,140
2013-07-01,Menilmontant,Paris,2,55
2014-07-08,Buttes-Montmartre,Paris,2,90
2019-08-07,Pantheon,Paris,2,113
2016-09-02,Luxembourg,Paris,2,110
2011-08-01,Enclos-St-Laurent,Paris,2,103
2011-07-13,Menilmontant,Paris,2,35
2012-08-05,Buttes-Chaumont,Paris,2,60
2012-08-27,Popincourt,Paris,2,90
2013-07-14,Pantheon,Paris,2,105
2012-04-08,Pantheon,Paris,2,80
2013-06-05,Popincourt,Paris,2,99
2013-09-19,Hotel-de-Ville,Paris,2,140
2012-04-24,Menilmontant,Paris,2,120
2014-03-10,Batignolles-Monceau,Paris,2,80
2014-03-17,Temple,Paris,2,58
2014-03-04,Popincourt,Paris,2,89
2013-11-17,Temple,Paris,2,150
2014-07-10,Opera,Paris,2,135
2014-03-29,Temple,Paris,2,95
2014-07-29,Popincourt,Paris,2,130
2014-02-10,Passy,Paris,2,105
2014-11-17,Buttes-Montmartre,Paris,2,217
2014-11-24,Pantheon,Paris,2,68
2014-04-10,Batignolles-Monceau,Paris,2,168
2015-01-11,Pantheon,Paris,2,125
2015-02-09,Luxembourg,Paris,2,95
2013-05-26,Popincourt,Paris,2,90
2011-06-15,Vaugirard,Paris,2,75
2013-04-15,Opera,Paris,2,50
2015-01-22,Bourse,Paris,2,88
2014-04-19,Opera,Paris,2,110
2015-04-25,Passy,Paris,2,99
2013-05-05,Buttes-Montmartre,Paris,2,100
2015-05-20,Reuilly,Paris,2,75
2012-02-17,Enclos-St-Laurent,Paris,2,79
2014-06-08,Temple,Paris,2,30
2014-12-14,Reuilly,Paris,2,85
2014-10-22,Vaugirard,Paris,2,89
2015-05-23,Passy,Paris,2,200
2015-07-09,Luxembourg,Paris,2,70
2013-05-28,Popincourt,Paris,2,50
2015-07-23,Popincourt,Paris,2,25
2015-05-18,Vaugirard,Paris,2,91
2014-10-05,Buttes-Chaumont,Paris,2,143
2012-11-27,Enclos-St-Laurent,Paris,2,75
2015-08-24,Hotel-de-Ville,Paris,2,45
2014-02-27,Vaugirard,Paris,2,120
2014-06-12,Opera,Paris,2,70
2013-10-04,Enclos-St-Laurent,Paris,2,75
2014-09-17,Popincourt,Paris,2,69
2015-10-12,Buttes-Montmartre,Paris,2,90
2015-04-28,Popincourt,Paris,2,39
2015-10-24,Passy,Paris,2,71
2013-03-24,Enclos-St-Laurent,Paris,2,45
2014-08-15,Buttes-Montmartre,Paris,2,65
2015-11-11,Buttes-Chaumont,Paris,2,54
2013-01-09,Popincourt,Paris,2,52
2016-01-04,Temple,Paris,2,80
2016-01-09,Menilmontant,Paris,2,65
2016-01-15,Elysee,Paris,2,99
2014-07-23,Temple,Paris,2,89
2014-12-21,Enclos-St-Laurent,Paris,2,95
2016-03-01,Elysee,Paris,2,160
2015-07-21,Buttes-Montmartre,Paris,2,135
2016-03-19,Vaugirard,Paris,2,65
2016-03-29,Buttes-Montmartre,Paris,2,60
2014-09-23,Popincourt,Paris,2,130
2015-03-30,Pantheon,Paris,2,50
2016-04-19,Bourse,Paris,2,60
2016-03-13,Temple,Paris,2,90
2013-02-01,Popincourt,Paris,2,46
2013-07-31,Opera,Paris,2,60
2015-06-19,Vaugirard,Paris,2,48
2013-11-19,Enclos-St-Laurent,Paris,2,70
2016-07-22,Popincourt,Paris,2,41
2016-07-30,Popincourt,Paris,2,102
2016-02-11,Buttes-Montmartre,Paris,2,42
2014-04-03,Popincourt,Paris,2,60
2013-05-07,Observatoire,Paris,2,58
2016-11-18,Louvre,Paris,2,123
2015-04-04,Buttes-Chaumont,Paris,2,29
2016-01-19,Batignolles-Monceau,Paris,2,59
2017-06-13,Menilmontant,Paris,2,55
2017-02-14,Elysee,Paris,2,78
2012-08-11,Opera,Paris,2,60
2015-06-10,Luxembourg,Paris,2,75
2014-06-08,Passy,Paris,2,150
2017-09-05,Passy,Paris,2,134
2016-02-13,Menilmontant,Paris,2,69
2015-09-19,Reuilly,Paris,2,100
2015-11-01,Buttes-Montmartre,Paris,2,60
2016-02-01,Elysee,Paris,2,110
2018-01-07,Menilmontant,Paris,2,74
2015-05-06,Buttes-Montmartre,Paris,2,80
2014-02-06,Opera,Paris,2,100
2011-11-13,Popincourt,Paris,2,100
2013-05-06,Popincourt,Paris,2,55
